1505,1505,512278.131,3786995.555,53.684
1500,1500,512185.075,3787059.707,55.098
R001,R001,512192.000,3787061.052,132.631
R002,R002,512186.870,3787070.351,132.863
R003,R003,512181.800,3787081.267,132.907
R004,R004,512177.171,3787094.947,133.017
R005,R005,512169.262,3787098.463,133.142
R006,R006,512173.559,3787083.833,133.059
R007,R007,512178.881,3787070.856,132.973
R008,R008,512192.635,3787047.386,132.728
R009,R009,512201.411,3787037.289,132.584
R010,R010,512208.309,3787039.839,132.472
R011,R011,512200.128,3787049.017,132.619
T001,T001,512201.517,3787050.274,132.695
T002,T002,512183.488,3787082.359,132.982
T003,T003,512169.734,3787089.163,133.260
T004,T004,512176.547,3787071.663,133.103
D005,D005,512229.045,3787027.909,54.781
G017,G017,512231.696,3787044.295,55.468
G018,G018,512224.751,3787046.443,55.515
G019,G019,512215.726,3787060.838,55.336
T007,T007,512209.225,3787049.780,55.195
T008,T008,512206.704,3787053.735,55.226
T009,T009,512205.973,3787051.735,55.200
T010,T010,512213.820,3787059.034,55.421
T011,T011,512218.876,3787055.063,55.479
T012,T012,512223.824,3787041.856,55.329
T013,T013,512236.178,3787029.776,54.922
D006,D006,512241.115,3787019.547,54.539
D007,D007,512242.013,3787026.636,54.736
G020,G020,512236.114,3787007.123,54.583
G021,G021,512233.334,3787002.221,55.169
1509,1509,512185.076,3787059.707,55.100
1507,1507,512208.746,3787030.863,54.855
1508,1508,512208.758,3787030.866,54.843
R024,R024,512229.233,3787004.379,54.910
R025,R025,512237.289,3787009.024,54.422
R026,R026,512269.668,3786991.044,53.871
R027,R027,512272.199,3786997.814,53.781
R028,R028,512280.076,3786993.430,53.635
R029,R029,512240.450,3787015.960,54.313
T014,T014,512239.053,3787006.804,54.515
T015,T015,512270.565,3786988.676,53.979
T016,T016,512270.299,3787000.754,53.932
T017,T017,512270.779,3787005.182,53.982
T018,T018,512272.596,3787002.195,53.845
T019,T019,512267.417,3787011.233,54.002
T020,T020,512266.744,3787015.418,54.257
T021,T021,512269.005,3787014.560,54.138
G022,G022,512263.820,3787006.664,54.060
G023,G023,512273.468,3787001.236,53.816
G024,G024,512274.241,3787013.228,53.864
G025,G025,512271.717,3787008.915,54.008
G026,G026,512279.704,3786997.305,53.652
G027,G027,512291.326,3786991.053,53.521
G028,G028,512291.669,3787028.939,53.667
G029,G029,512288.873,3787031.534,53.675
G030,G030,512282.914,3787031.291,53.747
G031,G031,512279.746,3787027.655,53.878
G032,G032,512274.230,3787003.675,53.773
D008,D008,512277.146,3787010.832,53.769
T022,T022,512273.663,3787014.837,53.933
T023,T023,512280.270,3787009.030,53.778
T024,T024,512273.969,3787030.655,53.868
G033,G033,512274.187,3787031.492,53.806
G034,G034,512267.443,3787032.403,54.502
G035,G035,512267.560,3787036.588,54.509
G036,G036,512274.328,3787036.917,53.771
G037,G037,512279.559,3787040.170,53.843
G038,G038,512282.437,3787037.391,53.765
G039,G039,512288.525,3787037.389,53.730
G040,G040,512279.626,3787096.430,53.836
G041,G041,512274.438,3787098.159,53.754
T025,T025,512273.809,3787097.229,53.786
T026,T026,512285.326,3787051.106,54.057
T027,T027,512286.613,3787052.375,54.079
T028,T028,512281.401,3787043.554,54.002
T029,T029,512284.235,3787039.372,53.937
T030,T030,512287.041,3787028.446,53.955
T031,T031,512288.674,3787024.135,53.883
L007,L007,512290.954,3787026.999,53.805
D009,D009,512279.504,3786995.803,53.649
D010,D010,512279.645,3787002.520,53.738
D011,D011,512271.632,3787037.722,53.902
D012,D012,512272.674,3787028.545,53.991
D013,D013,512270.361,3787030.825,53.898
D014,D014,512270.335,3787032.373,53.751
D015,D015,512283.191,3787030.580,53.948
L008,L008,512279.723,3787000.397,53.691
L009,L009,512279.827,3787014.614,53.806
L010,L010,512263.080,3786993.494,54.038
L011,L011,512280.313,3787040.558,53.878
L012,L012,512280.398,3787058.768,53.894
L013,L013,512280.100,3787077.218,53.895
B001,B001,512267.327,3787030.939,54.004
B002,B002,512267.305,3787036.749,54.078
B003,B003,512266.814,3787039.106,54.068
B004,B004,512269.459,3787039.091,53.938
B005,B005,512269.507,3787042.689,53.953
