1500,1500,512166.426,3787144.609,55.626
1509,1509,512185.078,3787059.710,55.255
1508,1508,512208.742,3787030.864,54.845
1507,1507,512234.495,3787012.517,54.455
1506,1506,512256.705,3786999.006,54.065
1505,1505,512278.131,3786995.552,53.675
1511,1511,512278.857,3787028.700,53.852
1504,1504,512278.925,3787061.613,53.851
1503,1503,512276.612,3787100.573,53.839
1502,1502,512279.492,3787143.198,53.850
1512,1512,512236.950,3787146.879,54.460
1501,1501,512205.132,3787146.570,55.013
1510,1510,512215.662,3787060.991,55.314
