1511      ,1511      ,512278.857,3787028.700,53.852
1505      ,1505      ,512278.131,3786995.549,53.687
001       ,001       ,512279.361,3787010.939,53.761
002       ,002       ,512274.535,3787010.843,53.771
003       ,003       ,512274.528,3787025.643,53.810
004       ,004       ,512279.373,3787025.622,53.852
005       ,005       ,512274.512,3787032.057,53.815
006       ,006       ,512269.614,3787032.201,53.797
007       ,007       ,512267.190,3787032.503,54.680
008       ,008       ,512266.999,3787036.605,54.675
009       ,009       ,512269.144,3787036.607,53.778
010       ,010       ,512274.464,3787036.711,53.809
011       ,011       ,512280.564,3787030.506,53.814
012       ,012       ,512283.364,3787031.291,53.759
013       ,013       ,512290.178,3787030.996,53.693
014       ,014       ,512291.715,3787027.686,53.677
015       ,015       ,512290.760,3787028.298,53.887
016       ,016       ,512291.639,3787018.620,53.652
017       ,017       ,512296.587,3787019.039,53.635
018       ,018       ,512296.550,3787032.256,53.673
019       ,019       ,512298.077,3787036.270,53.696
020       ,020       ,512299.314,3787036.275,53.687
021       ,021       ,512299.770,3787038.720,53.667
022       ,022       ,512300.754,3787039.034,53.619
023       ,023       ,512300.446,3787029.240,53.566
024       ,024       ,512300.182,3787042.217,53.735
025       ,025       ,512301.089,3787044.809,53.610
026       ,026       ,512301.097,3787045.765,53.520
027       ,027       ,512296.587,3787041.344,53.668
028       ,028       ,512290.540,3787038.018,53.723
029       ,029       ,512286.423,3787037.359,53.754
030       ,030       ,512280.389,3787038.268,53.821
031       ,031       ,512279.511,3787047.668,53.846
032       ,032       ,512279.510,3787061.855,53.858
033       ,033       ,512273.306,3787060.548,53.988
034       ,034       ,512268.534,3787061.065,54.069
035       ,035       ,512270.854,3787060.510,53.957
036       ,036       ,512270.902,3787064.637,54.066
037       ,037       ,512273.090,3787053.294,53.929
038       ,038       ,512270.864,3787052.383,53.984
039       ,039       ,512272.860,3787050.971,53.870
040       ,040       ,512282.820,3787055.390,53.919
041       ,041       ,512271.281,3787072.814,54.002
042       ,042       ,512272.945,3787071.906,53.843
043       ,043       ,512274.557,3787048.865,53.821
044       ,044       ,512274.836,3787060.792,53.782
045       ,045       ,512274.622,3787066.941,53.833
046       ,046       ,512279.502,3787067.041,53.862
047       ,047       ,512279.463,3787078.208,53.864
048       ,048       ,512274.717,3787079.541,53.841
049       ,049       ,512271.992,3787081.523,53.984
050       ,050       ,512270.150,3787083.412,54.039
051       ,051       ,512268.372,3787079.055,54.064
052       ,052       ,512269.425,3787082.231,53.920
053       ,053       ,512291.644,3787053.681,53.714
054       ,054       ,512301.136,3787057.338,53.620
055       ,055       ,512301.089,3787049.003,53.394
056       ,056       ,512296.502,3787057.868,53.688
057       ,057       ,512291.629,3787064.008,53.736
058       ,058       ,512296.510,3787065.965,53.674
1503      ,1503      ,512276.612,3787100.573,53.839
1504      ,1504      ,512278.925,3787061.613,53.851
059       ,059       ,512266.867,3787086.341,53.981
060       ,060       ,512267.396,3787091.056,53.933
061       ,061       ,512271.612,3787093.996,53.802
062       ,062       ,512269.481,3787098.353,53.986
063       ,063       ,512268.966,3787105.052,53.964
064       ,064       ,512272.508,3787110.405,53.953
065       ,065       ,512279.539,3787104.990,53.833
066       ,066       ,512291.647,3787105.115,53.699
067       ,067       ,512290.080,3787107.281,53.950
068       ,068       ,512291.565,3787099.012,53.677
069       ,069       ,512279.554,3787098.942,53.829
070       ,070       ,512280.534,3787097.667,53.897
1502      ,1502      ,512279.492,3787143.198,53.850
071       ,071       ,512246.143,3787154.603,54.276
072       ,072       ,512251.320,3787158.078,54.343
073       ,073       ,512242.019,3787158.825,54.279
074       ,074       ,512235.767,3787154.480,54.407
075       ,075       ,512233.456,3787150.437,54.424
076       ,076       ,512230.567,3787146.142,54.357
077       ,077       ,512225.896,3787143.863,54.667
078       ,078       ,512220.043,3787146.768,54.768
079       ,079       ,512230.232,3787138.747,54.699
080       ,080       ,512233.367,3787143.315,54.396
081       ,081       ,512235.156,3787131.794,54.605
082       ,082       ,512236.534,3787130.233,54.569
083       ,083       ,512291.535,3787142.229,53.591
084       ,084       ,512297.177,3787142.960,53.629
085       ,085       ,512291.496,3787148.213,53.594
086       ,086       ,512286.019,3787149.136,53.690
087       ,087       ,512279.497,3787148.182,53.760
088       ,088       ,512274.417,3787147.130,53.696
089       ,089       ,512270.871,3787151.389,54.090
090       ,090       ,512267.344,3787155.135,54.097
091       ,091       ,512268.346,3787139.692,54.042
092       ,092       ,512274.457,3787143.162,53.736
093       ,093       ,512267.775,3787133.736,53.936
094       ,094       ,512267.609,3787131.572,53.907
1512      ,1512      ,512236.950,3787146.879,54.460
095       ,095       ,512257.210,3787155.189,54.364
096       ,096       ,512246.280,3787155.309,54.467
097       ,097       ,512236.136,3787155.737,54.581
098       ,098       ,512222.570,3787154.579,54.854
099       ,099       ,512223.060,3787140.728,54.668
100       ,100       ,512234.703,3787132.462,54.264
101       ,101       ,512234.385,3787143.232,54.500
102       ,102       ,512229.197,3787143.299,54.579
103       ,103       ,512218.958,3787147.100,54.795
104       ,104       ,512218.918,3787151.159,54.921
105       ,105       ,512206.749,3787153.004,55.141
106       ,106       ,512195.382,3787151.176,55.321
107       ,107       ,512201.093,3787143.125,55.074
108       ,108       ,512201.180,3787132.300,55.307
109       ,109       ,512197.162,3787135.058,55.361
110       ,110       ,512208.740,3787134.302,55.058
111       ,111       ,512195.815,3787132.034,55.340
112       ,112       ,512186.151,3787147.117,55.267
113       ,113       ,512172.857,3787147.115,55.485
114       ,114       ,512172.839,3787143.232,55.483
115       ,115       ,512184.602,3787143.248,55.310
